,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
2207,s2755,Movie,Greater,David Hunt,United States,31/03/20,2016,PG,131,"Children & Family Movies, Dramas, Sports Movies"
2208,s2756,Movie,Indian Horse,Stephen S. Campanelli,Canada,31/03/20,2017,TV-MA,101,"Dramas, Independent Movies, Sports Movies"
2209,s2757,Movie,Paharganj,Rakesh Ranjan Kumar,India,31/03/20,2019,TV-MA,107,"Dramas, Independent Movies, International Movies"
2210,s2758,Movie,Pretty Little Stalker,Sam Irvin,United States,31/03/20,2018,TV-14,84,Thrillers
2211,s2759,Movie,Through My Father's Eyes: The Ronda Rousey Story,Gary Stretch,Canada,31/03/20,2019,R,104,"Documentaries, Sports Movies"
2212,s2761,Movie,Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,India,29/03/20,2020,TV-14,160,"Comedies, Dramas, International Movies"
2213,s2763,Movie,Rogue Warfare,Mike Gunther,United States,28/03/20,2019,R,103,Action & Adventure
2214,s2764,Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,"TJ Sullivan, Greg Rankin",United States,27/03/20,2020,TV-Y,46,"Children & Family Movies, Comedies"
2215,s2767,Movie,Maska,Neeraj Udhwani,India,27/03/20,2020,TV-MA,112,"Comedies, Dramas, International Movies"
2216,s2769,Movie,The Decline,Patrice Laliberté,Canada,27/03/20,2020,TV-MA,83,"Action & Adventure, International Movies"
2217,s2770,Movie,There's Something in the Water,"Ellen Page, Ian Daniel",Canada,27/03/20,2019,TV-14,72,"Documentaries, International Movies"
2218,s2771,Movie,True: Wuzzle Wegg Day,"Todd Kauffman, Mark Thornton",Canada,27/03/20,2020,TV-Y,24,Children & Family Movies
2219,s2772,Movie,Uncorked,Prentice Penny,United States,27/03/20,2020,TV-MA,104,"Dramas, Independent Movies"
2220,s2774,Movie,Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,Zsolt Pálfi,Hungary,27/03/20,2019,TV-Y,72,Children & Family Movies
2221,s2776,Movie,Happy Old Year,Nawapol Thamrongrattanarit,Thailand,26/03/20,2019,TV-MA,113,"Dramas, International Movies, Romantic Movies"
2222,s2777,Movie,Making Unorthodox,Marlene Melchior,Germany,26/03/20,2020,TV-G,21,"Documentaries, International Movies"
2223,s2779,Movie,Bethany Hamilton: Unstoppable,Aaron Lieber,United States,25/03/20,2019,PG,100,"Children & Family Movies, Documentaries, Sports Movies"
2224,s2781,Movie,Curtiz,Tamas Yvan Topolanszky,Hungary,25/03/20,2018,TV-MA,99,"Dramas, International Movies"
2225,s2782,Movie,The Occupant,"Àlex Pastor, David Pastor",Spain,25/03/20,2020,TV-MA,104,"Independent Movies, International Movies, Thrillers"
2226,s2783,Movie,Tom Segura: Ball Hog,Rami Hachache,United States,24/03/20,2020,TV-MA,70,Stand-Up Comedy
2227,s2787,Movie,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,Argentina,20/03/20,2020,TV-14,93,"Documentaries, International Movies, Sports Movies"
2228,s2790,Movie,El silencio es bienvenido,Gabriela García Rivas,Mexico,20/03/20,2017,TV-14,95,"Dramas, Independent Movies, International Movies"
2229,s2811,Movie,Bypass Road,Naman Nitin Mukesh,India,15/03/20,2019,TV-14,135,"International Movies, Thrillers"
2230,s2796,TV Show,"Tiger King: Murder, Mayhem and Madness","Eric Goode, Rebecca Chaiklin",United States,20/03/20,2020,TV-MA,1,"Crime TV Shows, Docuseries"
2231,s2797,Movie,Ultras,Francesco Lettieri,Italy,20/03/20,2020,TV-MA,109,"Dramas, International Movies, Sports Movies"
2232,s2799,Movie,3022,John Suits,United States,19/03/20,2019,R,91,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
2233,s2800,Movie,Altered Carbon: Resleeved,"Takeru Nakajima, Yoshiyuki Okada",Japan,19/03/20,2020,TV-MA,75,"Action & Adventure, Anime Features, International Movies"
2234,s2801,Movie,Masameer - The Movie,Malik Nejer,Saudi Arabia,19/03/20,2020,TV-14,100,"Comedies, International Movies"
2235,s2802,Movie,AllI Wish,Susan Walter,United States,18/03/20,2017,R,95,"Dramas, Romantic Movies"
2236,s2804,Movie,Lu Over the Wall,Masaaki Yuasa,Japan,18/03/20,2017,PG,113,"Anime Features, Music & Musicals, Sci-Fi & Fantasy"
2237,s2806,Movie,XV: Beyond the Tryline,Pierre Deschamps,United Kingdom,18/03/20,2016,TV-14,91,"Documentaries, Sports Movies"
2238,s2807,Movie,Bert Kreischer: Hey Big Boy,Jeff Tomsic,United States,17/03/20,2020,TV-MA,62,Stand-Up Comedy
2239,s2810,Movie,Search Party,Scot Armstrong,United States,16/03/20,2014,R,93,Comedies
2240,s2814,TV Show,Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,Lynn Novick,United States,15/03/20,2019,TV-MA,1,Docuseries
2241,s2816,Movie,Jai Mummy Di,Navjot Gulati,India,14/03/20,2020,TV-MA,101,"Comedies, International Movies, Romantic Movies"
2242,s2812,Movie,Digs & Discoveries: All Track's Lead to Rome,Joey So, ,15/03/20,2019,TV-Y,23,Children & Family Movies
2243,s2818,Movie,Baby Mamas,Stephanie Zwane,South Africa,13/03/20,2018,TV-14,98,"Comedies, Dramas, International Movies"
2244,s2813,Movie,Digs & Discoveries: Mines of Mystery,Joey So, ,15/03/20,2019,TV-Y,23,Children & Family Movies
2245,s2820,Movie,Go Karts,Owen Trevor,Australia,13/03/20,2020,TV-PG,103,"Children & Family Movies, Dramas"
2246,s2821,Movie,Justine,Stephanie Turner,United States,13/03/20,2019,TV-MA,106,"Dramas, Independent Movies"
2247,s2822,TV Show,Kingdom,Kim Seong-hun,South Korea,13/03/20,2020,TV-MA,2,"International TV Shows, Korean TV Shows, TV Action & Adventure"
2248,s2823,Movie,Lost Girls,Liz Garbus,United States,13/03/20,2020,R,95,Dramas
2249,s2824,Movie,Miracle in Cell No. 7,Mehmet Ada Öztekin,Turkey,13/03/20,2019,TV-14,132,"Dramas, International Movies"
2250,s2815,Movie,Steam Team to the Rescue,Joey So, ,15/03/20,2019,TV-Y,23,Children & Family Movies
2251,s2829,Movie,Carmen Sandiego: To Steal or Not to Steal,Jos Humphrey,Canada,10/03/20,2020,TV-Y7,82,Children & Family Movies
2252,s2830,Movie,Marc Maron: End Times Fun,Lynn Shelton,United States,10/03/20,2020,TV-MA,71,Stand-Up Comedy
2253,s2831,Movie,Sitara: Let Girls Dream,Sharmeen Obaid-Chinoy,Pakistan,08/03/20,2020,TV-PG,16,"Children & Family Movies, Dramas"
2254,s2833,Movie,All About Love,Adze Ugah,South Africa,06/03/20,2017,TV-MA,79,"Dramas, International Movies, Romantic Movies"
2255,s2834,Movie,Guilty,Ruchi Narain,India,06/03/20,2020,TV-MA,120,"Dramas, International Movies"
2256,s2835,Movie,I am Jonas,Christophe Charrier,France,06/03/20,2019,TV-MA,82,"Dramas, Independent Movies, International Movies"
2257,s2836,Movie,Miles Davis: Birth of the Cool,Stanley Nelson,United States,06/03/20,2019,TV-MA,115,"Documentaries, Music & Musicals"
2258,s2837,Movie,Spenser Confidential,Peter Berg,United States,06/03/20,2020,R,111,"Action & Adventure, Comedies"
2259,s2838,Movie,Twin Murders: the Silence of the White City,Daniel Calparsoro,Spain,06/03/20,2020,TV-MA,110,"International Movies, Thrillers"
2260,s2841,Movie,Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas,India,05/03/20,2020,TV-14,162,"Action & Adventure, Comedies, Dramas"
2261,s2840,Movie,93 Days,Steve Gukas,Nigeria,05/03/20,2016,TV-PG,121,"Dramas, International Movies, Thrillers"
2262,s2832,Movie,Alakada Reloaded,Toyin Abraham, ,06/03/20,2017,TV-MA,104,"Comedies, International Movies"
2263,s2843,Movie,Tootsies & The Fake,Kittiphak Thonguam,Thailand,05/03/20,2019,TV-MA,108,"Comedies, International Movies, LGBTQ Movies"
2265,s2845,Movie,Lil Peep: Everybody’s Everything,"Sebastian Jones, Ramez Silyan",United States,04/03/20,2019,TV-MA,116,"Documentaries, Music & Musicals"
2267,s2847,TV Show,Velvet,Carlos Sedes,Spain,04/03/20,2016,TV-14,4,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
2268,s2848,Movie,Freaks,"Adam B. Stein, Zach Lipovsky",United States,03/03/20,2018,R,105,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
2269,s2849,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,Brazil,03/03/20,2019,TV-Y,71,"Children & Family Movies, Comedies, Music & Musicals"
2270,s2850,Movie,Taylor Tomlinson: Quarter-Life Crisis,Marcus Raboy,United States,03/03/20,2020,TV-MA,61,Stand-Up Comedy
2271,s2851,Movie,The Last Bomb of the Second World War,Athiyan Athirai,India,03/03/20,2019,TV-14,133,"Dramas, Independent Movies, International Movies"
2272,s2852,Movie,Uncovered,Zuko Nodada,South Africa,03/03/20,2019,TV-MA,98,"Dramas, International Movies"
2274,s2854,Movie,Fat Ballerina - David A. Arnold,Milton Horowitz,United States,02/03/20,2020,TV-MA,61,Stand-Up Comedy
2275,s2859,Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya, ,01/03/20,2019,TV-Y,11,Children & Family Movies
2276,s2857,Movie,Bhangra Paa Le,Sneha Taurani,India,01/03/20,2019,TV-14,130,"Comedies, Dramas, International Movies"
2277,s2865,Movie,Velvet Colección: Grand Finale,Gustavo Ron, ,01/03/20,2020,TV-14,82,"Dramas, International Movies, Romantic Movies"
2278,s2860,Movie,Frank & Lola,Matthew Ross,United States,01/03/20,2016,TV-MA,87,"Dramas, Thrillers"
2280,s2862,Movie,Ordinary World,Lee Kirk,United States,01/03/20,2016,TV-14,87,"Comedies, Dramas, Music & Musicals"
2281,s2863,Movie,"Pop, Lock 'n Roll",Ziggy Hofmeyr,South Africa,01/03/20,2017,TV-14,88,"Dramas, International Movies, Romantic Movies"
2283,s2866,Movie,Voulez-vous rire avec moi ce soir?,Yacine Belhousse,France,01/03/20,2018,TV-MA,93,"Documentaries, International Movies"
2284,s2867,Movie,ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,Sam Dunn,United Kingdom,01/03/20,2019,TV-MA,90,"Documentaries, Music & Musicals"
2285,s2868,Movie,All The Bright Places,Brett Haley,United States,28/02/20,2020,TV-MA,109,"Dramas, Romantic Movies"
2286,s2944,Movie,The Ballad of Lefty Brown,Jared Moshé,United States,07/02/20,2017,R,112,Dramas
2287,s2885,Movie,The Visit,Oyefunke Fayoyin, ,26/02/20,2015,TV-MA,138,"Dramas, Independent Movies, International Movies"
2288,s2874,Movie,Ala Vaikunthapurramuloo,Trivikram Srinivas,India,27/02/20,2020,TV-14,162,"Action & Adventure, Comedies, Dramas"
2289,s2877,Movie,Pokémon: Mewtwo Strikes Back - Evolution,"Kunihiko Yuyama, Motonori Sakakibara",Japan,27/02/20,2019,TV-Y7,98,"Anime Features, Children & Family Movies"
2290,s2878,TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer",Saudi Arabia,27/02/20,2020,TV-14,1,TV Shows
2291,s2879,Movie,Couple of Days,Tolu Awobiyi,Nigeria,26/02/20,2016,TV-14,103,"Dramas, International Movies, Romantic Movies"
2292,s2880,Movie,Gbomo Gbomo Express,Walter Taylaur,Nigeria,26/02/20,2015,TV-MA,97,"Dramas, International Movies"
2293,s2882,Movie,Taxi Driver,Daniel Oriahi,Nigeria,26/02/20,2015,TV-MA,94,"Comedies, Dramas, Independent Movies"
2294,s2883,Movie,The Arbitration,Niyi Akinmolayan,Nigeria,26/02/20,2016,TV-MA,101,"Dramas, International Movies"
2295,s2886,Movie,When Love Happens,Seyi Babatope,Nigeria,26/02/20,2014,TV-14,109,"International Movies, Romantic Movies"
2296,s2887,Movie,Pete Davidson: Alive From New York,Jason Orley,United States,25/02/20,2020,TV-MA,50,Stand-Up Comedy
2297,s2888,Movie,Full Count,Robert Eagar,United States,23/02/20,2019,TV-PG,110,"Children & Family Movies, Dramas, Faith & Spirituality"
2298,s2890,Movie,Girl on the Third Floor,Travis Stevens,United States,22/02/20,2019,TV-MA,92,Horror Movies
2299,s2891,TV Show,Unabomber - In His Own Words,Mick Grogan,Canada,22/02/20,2018,TV-MA,1,"Crime TV Shows, Docuseries"
2300,s2896,Movie,System Crasher,Nora Fingscheidt,Germany,21/02/20,2020,TV-MA,120,"Dramas, Independent Movies, International Movies"
2301,s2897,Movie,The Body,Jeethu Joseph,India,21/02/20,2019,TV-14,101,"International Movies, Thrillers"
2302,s2898,Movie,The Last Thing He Wanted,Dee Rees,United States,21/02/20,2020,R,116,"Dramas, Thrillers"
2303,s2899,Movie,Yeh Ballet,Sooni Taraporevala,India,21/02/20,2020,TV-MA,117,"Dramas, International Movies"
2304,s2900,Movie,Pretville,Linda Korsten,South Africa,20/02/20,2012,TV-PG,95,"Comedies, International Movies, Music & Musicals"
2305,s2902,Movie,Untamed Romania,Tom Barton-Humphreys,Romania,20/02/20,2018,TV-PG,93,"Children & Family Movies, Documentaries, International Movies"
2306,s2904,Movie,By the Sea,Angelina Jolie,France,16/02/20,2015,R,122,"Dramas, Romantic Movies"
2307,s2905,Movie,Miss Virginia,R.J. Daniel Hanna,United States,16/02/20,2019,TV-MA,102,"Dramas, Independent Movies"
2308,s2906,Movie,MR. RIGHT,Paco Cabezas,United States,16/02/20,2015,R,96,"Action & Adventure, Comedies, Romantic Movies"
2309,s2907,TV Show,On the Real,Tosin Coker,Nigeria,16/02/20,2017,TV-MA,1,"International TV Shows, TV Dramas"
2310,s2908,Movie,Term Life,Peter Billingsley,United States,16/02/20,2016,R,93,"Dramas, Thrillers"
2311,s2909,Movie,The Forest,Jason Zada,United States,16/02/20,2016,PG-13,93,"Horror Movies, Independent Movies"
2312,s2910,Movie,Monster High: Electrified,Avgousta Zourelidi, ,15/02/20,2017,TV-Y,72,Movies
2313,s2912,Movie,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher",United Kingdom,14/02/20,2019,G,87,"Children & Family Movies, Comedies"
2314,s2913,Movie,Cuddle Weather,Rod Cabatana Marmol,Philippines,14/02/20,2019,TV-MA,95,"Dramas, International Movies, Romantic Movies"
2315,s2914,Movie,Fanatyk,Michał Tylka,Poland,14/02/20,2017,TV-MA,33,"Comedies, Dramas, Independent Movies"
2316,s2915,Movie,Isi & Ossi,Oliver Kienle,Germany,14/02/20,2020,TV-MA,113,"Comedies, International Movies, Romantic Movies"
2318,s2917,Movie,Panipat - The Great Betrayal,Ashutosh Gowariker,India,14/02/20,2019,TV-14,171,"Dramas, International Movies, Romantic Movies"
2319,s2919,Movie,The Ghost and the Tout,Charles Uwagbai,Nigeria,14/02/20,2018,TV-14,100,"Comedies, International Movies"
2320,s2920,Movie,Dragon Quest Your Story,"Takashi Yamazaki, Ryuichi Yagi, Makoto Hanafusa",Japan,13/02/20,2019,TV-PG,103,"Action & Adventure, Anime Features, Children & Family Movies"
2321,s2924,TV Show,Sleepless Society: Insomnia,"Pantham Thongsang, Cheewatan Pusitsuksa",Thailand,13/02/20,2019,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas"
2322,s2925,Movie,French Toast,"Paul Krüger, Anél Stolp",South Africa,12/02/20,2015,TV-PG,86,"Comedies, International Movies, Romantic Movies"
2323,s2926,Movie,To All the Boys: P.S. I Still Love You,Michael Fimognari,United States,12/02/20,2020,TV-14,102,"Comedies, Romantic Movies"
2324,s2929,Movie,Good Time,"Benny Safdie, Josh Safdie",United States,11/02/20,2017,R,101,"Dramas, Independent Movies, Thrillers"
2325,s2930,Movie,ROAD TO ROMA,Andres Clariond,Mexico,11/02/20,2020,TV-PG,73,"Documentaries, International Movies"
2326,s2931,Movie,Love for Sale 2,Andibachtiar Yusuf,Indonesia,10/02/20,2019,TV-14,96,"Dramas, International Movies, Romantic Movies"
2327,s2933,Movie,Fronteras,Andrew Dean,United States,09/02/20,2018,TV-MA,106,"Dramas, Independent Movies, Thrillers"
2328,s2934,Movie,Polaroid,Lars Klevberg,United States,09/02/20,2019,PG-13,88,Horror Movies
2329,s2935,Movie,The Coldest Game,Lukasz Kosmicki,Poland,08/02/20,2019,TV-MA,103,"Dramas, International Movies, Thrillers"
2330,s2936,Movie,Thottappan,Shanavas K. Bavakutty,India,08/02/20,2019,TV-14,139,"Comedies, Dramas, International Movies"
2331,s2937,Movie,Azali,Kwabena Gyansah,Ghana,07/02/20,2018,TV-14,89,"Dramas, International Movies"
2332,s2940,Movie,Horse Girl,Jeff Baena,United States,07/02/20,2020,R,104,"Dramas, Independent Movies"
2333,s2941,Movie,Jada,Kumaran,India,07/02/20,2019,TV-14,124,"Dramas, International Movies, Sports Movies"
2334,s2947,Movie,Gardeners of Eden,"Austin Peck, Anneliese Vandenberg",Kenya,06/02/20,2014,TV-14,70,Documentaries
2335,s2948,TV Show,Arrow,James Bamford,United States,05/02/20,2019,TV-14,8,"Crime TV Shows, TV Action & Adventure"
2336,s2949,TV Show,The Pharmacist,"Julia Willoughby Nason, Jenner Furst",United States,05/02/20,2020,TV-MA,1,"Crime TV Shows, Docuseries"
2337,s2950,Movie,Uppity: The Willy T. Ribbs Story,"Nate Adams, Adam Carolla",United States,05/02/20,2020,TV-MA,106,"Documentaries, Sports Movies"
2338,s2951,Movie,Dragonheart: Vengeance,Ivan Silvestrini,United States,04/02/20,2020,PG-13,97,"Action & Adventure, Sci-Fi & Fantasy"
2339,s2952,Movie,"Faith, Hope & Love",Robert Krantz,United States,04/02/20,2019,PG,106,"Comedies, Faith & Spirituality, Romantic Movies"
2340,s2953,Movie,Tom Papa: You're Doing Great!,Gregory Jacobs,United States,04/02/20,2020,TV-14,60,Stand-Up Comedy
2341,s2955,Movie,Thambi,Jeethu Joseph,India,03/02/20,2019,TV-14,148,"International Movies, Thrillers"
2342,s2956,Movie,The Silent War,Alfonso Cortés-Cavanillas,Spain,03/02/20,2020,TV-MA,122,"Dramas, International Movies, Thrillers"
2343,s2957,Movie,Chronically Metropolitan,Xavier Manrique,United States,01/02/20,2016,TV-MA,86,"Comedies, Dramas, Independent Movies"
2345,s2961,Movie,Justice,Richard Gabai,United States,01/02/20,2017,R,92,Movies
2346,s2962,Movie,Love Jacked,Alfons Adetuyi,Canada,01/02/20,2018,PG-13,94,"Comedies, International Movies, Romantic Movies"
2347,s2963,TV Show,Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,France,01/02/20,2019,TV-Y7,5,"Kids' TV, TV Action & Adventure"
2348,s2964,Movie,Misfit 2,Erwin van den Eshof,Netherlands,01/02/20,2019,TV-G,82,"Children & Family Movies, Comedies, International Movies"
2349,s2969,Movie,The Car: Road to Revenge,G.J. Echternkamp,United States,01/02/20,2019,TV-MA,89,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
2351,s2971,Movie,37 Seconds,Hikari,Japan,31/01/20,2020,TV-MA,116,"Dramas, International Movies"
2352,s2973,Movie,Gang of the Caribbean,Jean-Claude Flamand-Barny,France,31/01/20,2016,TV-MA,86,"Dramas, International Movies"
2353,s2974,Movie,Hakkunde,Oluseyi Asurf,Nigeria,31/01/20,2017,TV-14,93,"Comedies, Dramas, Independent Movies"
2354,s2976,Movie,Miss Americana,Lana Wilson,United States,31/01/20,2020,TV-MA,85,"Documentaries, Music & Musicals"
2356,s2982,Movie,Close Enemies,David Oelhoffen,France,29/01/20,2018,TV-MA,112,"Dramas, International Movies"
2357,s2986,Movie,Shimla Mirchi,Ramesh Sippy,India,27/01/20,2020,TV-14,121,"Comedies, International Movies, Romantic Movies"
2358,s2987,Movie,Sillu Karuppatti,Halitha Shameem,India,26/01/20,2019,TV-14,133,"Comedies, Dramas, Independent Movies"
2359,s2988,Movie,Vir Das: For India,"Vir Das, Ajay Bhuyan",India,26/01/20,2020,TV-MA,76,Stand-Up Comedy
2360,s2989,Movie,Menashe,"Josh Z. Weinstein, Joshua Z. Weinstein",United States,25/01/20,2017,PG,82,"Dramas, Independent Movies"
2361,s2990,Movie,A Sun,Chung Mong-hong,Taiwan,24/01/20,2019,TV-MA,156,"Dramas, Independent Movies, International Movies"
2362,s2991,Movie,Die Ontwaking,Johnny Breedt,South Africa,24/01/20,2015,TV-MA,90,"International Movies, Thrillers"
2363,s2996,Movie,Airplane Mode,César Rodrigues,United States,23/01/20,2020,TV-PG,97,"Comedies, International Movies, Romantic Movies"
2364,s2997,Movie,Alex Fernández: The Best Comedian in the World,Alex Díaz,Mexico,23/01/20,2020,TV-MA,51,Stand-Up Comedy
2365,s3000,TV Show,The Ghost Bride,Quek Shio-chuan,Taiwan,23/01/20,2020,TV-14,1,"International TV Shows, TV Dramas, TV Mysteries"
2367,s3004,Movie,Fortune Feimster: Sweet & Salty,Krysia Plonka,United States,21/01/20,2020,TV-MA,61,Stand-Up Comedy
2368,s3005,Movie,KD (A) Karuppudurai,Madhumita,India,21/01/20,2019,TV-14,116,"Comedies, Dramas, Independent Movies"
2369,s3007,Movie,Motichoor Chaknachoor,Debamitra Biswal,India,20/01/20,2019,TV-14,132,"Comedies, Dramas, International Movies"
2370,s3008,Movie,WHAT DID JACK DO?,David Lynch,United States,20/01/20,2020,TV-14,17,"Dramas, Independent Movies"
2371,s3009,Movie,The Bling Ring,Sofia Coppola,United States,18/01/20,2013,R,91,"Dramas, Independent Movies"
2372,s3010,Movie,A Fall from Grace,Tyler Perry,United States,17/01/20,2020,TV-MA,121,"Dramas, Thrillers"
2373,s3015,Movie,Deadcon,Caryn Waechter,United States,16/01/20,2019,TV-14,78,Horror Movies
2375,s3018,Movie,Jezebel,Numa Perrier,United States,16/01/20,2019,TV-MA,86,"Dramas, Independent Movies"
2376,s3019,Movie,Legend,Brian Helgeland,United Kingdom,16/01/20,2015,R,132,"Dramas, International Movies, Thrillers"
2377,s3020,Movie,NiNoKuni,Yoshiyuki Momose,Japan,16/01/20,2019,TV-14,107,"Action & Adventure, Anime Features, Children & Family Movies"
2378,s3022,Movie,Steve Jobs,Danny Boyle,United Kingdom,16/01/20,2015,R,122,Dramas
2379,s3023,Movie,Bulbul Can Sing,Rima Das,India,15/01/20,2018,TV-14,95,"Dramas, Independent Movies, International Movies"
2380,s3024,Movie,Eye For An Eye,Paco Plaza,Spain,15/01/20,2019,TV-MA,108,"Dramas, International Movies, Thrillers"
2381,s3026,Movie,MindGamers,Andrew Goth,Austria,15/01/20,2017,R,99,"International Movies, Sci-Fi & Fantasy, Thrillers"
2382,s3027,Movie,The Brave,William Kaufman,United States,15/01/20,2019,TV-MA,103,"Action & Adventure, Independent Movies"
2383,s3028,Movie,Leslie Jones: Time Machine,"David Benioff, D.B. Weiss",United States,14/01/20,2020,TV-MA,66,Stand-Up Comedy
2384,s3030,Movie,Women of Mafia 2,Patryk Vega,Poland,14/01/20,2019,TV-MA,132,"Action & Adventure, Dramas, International Movies"
2385,s3032,Movie,Betty White: First Lady of Television,Steve Boettcher,United States,12/01/20,2018,TV-14,56,Documentaries
2386,s3033,Movie,Made in China,Mikhil Musale,India,12/01/20,2019,TV-MA,128,"Comedies, Dramas, International Movies"
2387,s3037,TV Show,Jamtara - Sabka Number Ayega,Soumendra Padhi,India,10/01/20,2020,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas"
2388,s3039,Movie,Monsters: Dark Continent,Tom Green,United Kingdom,10/01/20,2014,R,119,"Action & Adventure, Dramas, Independent Movies"
2389,s3042,Movie,Bulletproof 2,Don Michael Paul,United States,09/01/20,2020,TV-MA,97,"Action & Adventure, Comedies"
2390,s3044,Movie,A Ghost Story,David Lowery,United States,07/01/20,2017,R,92,"Dramas, Independent Movies"
2391,s3045,Movie,"Live Twice, Love Once",Maria Ripoll,Spain,07/01/20,2020,TV-MA,102,"Comedies, Dramas, International Movies"
2392,s3047,Movie,All the Freckles in the World,Yibrán Asuad,Mexico,03/01/20,2020,TV-14,90,"Comedies, International Movies, Romantic Movies"
2393,s3049,Movie,Half Girlfriend,Mohit Suri,India,02/01/20,2017,TV-14,129,"Dramas, International Movies, Romantic Movies"
2394,s3052,Movie,Aruna & Her Palate,Edwin,Indonesia,01/01/20,2018,TV-14,106,"Dramas, International Movies"
2395,s3055,Movie,Breaking the Bank,Vadim Jean,United Kingdom,01/01/20,2014,TV-PG,105,"Comedies, International Movies"
2399,s3061,Movie,Ghost Stories,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",India,01/01/20,2020,TV-MA,145,"Horror Movies, International Movies, Thrillers"
2400,s3062,Movie,Jeff Dunham: Unhinged in Hollywood,Michael Simon,United States,01/01/20,2015,TV-MA,71,Stand-Up Comedy
2402,s3065,Movie,Luccas Neto in: Children's Day,Lucas Margutti,Brazil,01/01/20,2019,TV-G,81,"Children & Family Movies, Comedies, Music & Musicals"
2403,s3073,Movie,Riot,John Lyde, ,01/01/20,2015,TV-MA,88,Action & Adventure
2404,s3068,TV Show,"Nisman: The Prosecutor, the President, and the Spy",Justin Webster,Spain,01/01/20,2020,TV-MA,1,"Crime TV Shows, Docuseries, International TV Shows"
2406,s3070,Movie,Pokémon the Movie: Power of Us,Tetsuo Yajima,Japan,01/01/20,2018,TV-Y7,98,"Anime Features, Children & Family Movies"
2407,s3071,Movie,Posesif,Edwin,Indonesia,01/01/20,2017,TV-MA,102,"Dramas, International Movies, Romantic Movies"
2409,s3078,Movie,Aaviri,Ravi Babu,India,31/12/19,2019,TV-14,110,"Horror Movies, International Movies, Thrillers"
2410,s3079,Movie,Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,India,31/12/19,2019,TV-MA,85,"Dramas, Independent Movies, International Movies"
2411,s3081,Movie,Benchwarmers 2: Breaking Balls,Jon Rosenbaum,United States,31/12/19,2019,PG-13,90,"Comedies, Sports Movies"
2412,s3082,Movie,How High 2,Bruce Leddy,United States,31/12/19,2019,TV-MA,89,Comedies
2413,s3094,Movie,The Vendor,Odunlade Adekola, ,27/12/19,2018,TV-MA,103,"Comedies, International Movies"
2414,s3090,Movie,Hot Gimmick: Girl Meets Boy,Yuki Yamato,Japan,28/12/19,2019,TV-MA,120,"Dramas, International Movies"
2415,s3091,Movie,Blitz Patrollie,Andrew Wessels,South Africa,27/12/19,2013,TV-MA,102,"Action & Adventure, Comedies, International Movies"
2416,s3092,Movie,"El Pepe, a Supreme Life",Emir Kusturica,Argentina,27/12/19,2018,TV-14,73,"Documentaries, International Movies"
2417,s3095,Movie,The App,Elisa Fuksas,Italy,26/12/19,2019,TV-MA,79,"Dramas, Independent Movies, International Movies"
2418,s3097,TV Show,You,Lee Toland Krieger,United States,26/12/19,2019,TV-MA,2,"Crime TV Shows, Romantic TV Shows, TV Dramas"
2419,s3098,Movie,Doom: Annihilation,Tony Giglio,United States,25/12/19,2019,R,97,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
2420,s3099,Movie,Fireworks,"Akiyuki Shinbo, Nobuyuki Takeuchi",Japan,25/12/19,2017,TV-PG,91,"Anime Features, Romantic Movies"
2421,s3100,Movie,Grand-Daddy Day Care,Ron Oliver,United States,25/12/19,2019,PG-13,96,"Children & Family Movies, Comedies"
2422,s3101,Movie,Jarhead: Law of Return,Don Michael Paul,Israel,25/12/19,2019,R,103,"Action & Adventure, Dramas"
2423,s3102,Movie,MFKZ,"Shojiro Nishimi, Guillaume Renard",France,25/12/19,2017,R,95,"Action & Adventure, Comedies, International Movies"
2424,s3103,Movie,Sweetheart,J.D. Dillard,United States,25/12/19,2019,PG-13,83,"Horror Movies, Sci-Fi & Fantasy, Thrillers"
2425,s3116,Movie,The First Lady,Omoni Oboli,United Kingdom,20/12/19,2015,TV-MA,107,"Dramas, International Movies"
